Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
11-August-2020,413.50,427.50,412.50,416.45,421.135922875428694877,925775,11912,389877109.00,110814,11.97,15.00,2.95
10-August-2020,404.60,411.45,399.60,410.15,406.268536859925302802,458384,6599,186226997.00,56520,12.33,11.85,5.55
7-August-2020,395.30,406.75,393.25,404.00,402.238992491228256567,752986,11604,302880330.00,126582,16.81,13.50,8.70
6-August-2020,391.45,402.80,385.60,400.55,394.244443016469437013,887037,12068,349709408.00,74489,8.40,17.20,9.10
5-August-2020,373.10,398.00,373.10,395.80,389.147443850524703363,1246895,16335,485226002.00,141464,11.35,24.90,22.70
4-August-2020,375.25,378.00,367.80,372.25,372.060975185931743935,402836,5298,149879555.00,61899,15.37,10.20,-3.00
3-August-2020,364.50,376.65,362.45,373.25,371.825954587152102742,475284,8012,176722927.00,110083,23.16,14.20,8.75
31-July-2020,365.80,370.30,360.50,366.40,365.498386221334832419,412696,6509,150839722.00,75595,18.32,9.80,0.60
30-July-2020,376.40,378.05,364.20,366.70,370.175105023041651773,520362,9471,192625058.00,115798,22.25,13.85,-9.70
29-July-2020,360.00,378.20,356.90,373.90,371.146256416937639218,1105278,15174,410219792.00,184219,16.67,21.30,13.90
28-July-2020,354.10,360.00,352.95,358.35,356.869109452536366365,422987,5473,150950994.00,96623,22.84,7.05,4.25
27-July-2020,350.00,353.90,344.50,352.85,351.062618139154762919,797788,8449,280073544.00,97965,12.28,9.40,2.85
24-July-2020,348.00,349.75,342.75,346.05,345.774435986015294472,577202,7591,199581696.00,82451,14.28,7.00,-1.95
23-July-2020,350.10,356.30,347.70,352.00,352.224994672048941931,638144,7603,224770267.00,97210,15.23,8.60,1.90
22-July-2020,362.00,362.85,346.75,350.10,355.257627061780937797,1251891,12660,444743826.00,155247,12.40,16.10,-11.90
21-July-2020,356.00,360.55,349.60,359.10,354.529229229625176020,505624,7768,179258487.00,93860,18.56,10.95,3.10
20-July-2020,353.90,354.70,346.70,352.40,350.300513007012812301,621434,7630,217688649.00,188332,30.31,8.00,-1.50
17-July-2020,346.60,356.60,345.15,350.90,352.793661124392888960,1312157,21446,462920672.00,329382,25.10,11.45,4.30
16-July-2020,339.90,346.30,331.75,341.75,337.958363372702091399,606149,8338,204853124.00,158731,26.19,14.55,1.85
15-July-2020,339.10,346.30,338.00,339.15,343.228906546184864786,1276652,13023,438183870.00,553603,43.36,8.30,0.05
